ps,,/Raised_Cosine_Transmit_Filter_tb/Out1
d,elta,
295000000,2,0.641845703
295001000,1,0.639160156
296000000,2,0.519287109
297000000,2,0.198486328
298000000,2,-0.198730469
299000000,2,-0.51953125
300000000,2,-0.642089844
300001000,1,-0.639404297
301000000,2,-0.51953125
302000000,2,-0.198730469
303000000,2,0.198486328
304000000,2,0.519287109
305000000,2,0.641845703
305001000,1,0.639160156
306000000,2,0.519287109
307000000,2,0.198486328
308000000,2,-0.198730469
309000000,2,-0.51953125
310000000,2,-0.642089844
310001000,1,-0.639404297
311000000,2,-0.51953125
312000000,2,-0.198730469
313000000,2,0.198486328
314000000,2,0.519287109
315000000,2,0.641845703
315001000,1,0.639160156
316000000,2,0.519287109
317000000,2,0.198486328
318000000,2,-0.198730469
319000000,2,-0.51953125
320000000,2,-0.642089844
320001000,1,-0.639404297
321000000,2,-0.51953125
322000000,2,-0.198730469
323000000,2,0.198486328
324000000,2,0.519287109
325000000,2,0.641845703
325001000,1,0.639160156
326000000,2,0.519287109
327000000,2,0.198486328
328000000,2,-0.198730469
329000000,2,-0.51953125
330000000,2,-0.642089844
330001000,1,-0.639404297
331000000,2,-0.51953125
332000000,2,-0.198730469
333000000,2,0.198486328
334000000,2,0.519287109
335000000,2,0.641845703
335001000,1,0.639160156
336000000,2,0.519287109
337000000,2,0.198486328
338000000,2,-0.198730469
339000000,2,-0.51953125
340000000,2,-0.642089844
340001000,1,-0.639404297
341000000,2,-0.51953125
342000000,2,-0.198730469
343000000,2,0.198486328
344000000,2,0.519287109
345000000,2,0.641845703
345001000,1,0.639160156
346000000,2,0.519287109
347000000,2,0.198486328
348000000,2,-0.198730469
349000000,2,-0.51953125
350000000,2,-0.642089844
350001000,1,-0.639404297
351000000,2,-0.51953125
352000000,2,-0.198730469
353000000,2,0.198486328
354000000,2,0.519287109
355000000,2,0.641845703
355001000,1,0.639160156
356000000,2,0.519287109
357000000,2,0.198486328
358000000,2,-0.198730469
359000000,2,-0.51953125
360000000,2,-0.642089844
360001000,1,-0.639404297
361000000,2,-0.51953125
362000000,2,-0.198730469
363000000,2,0.198486328
364000000,2,0.519287109
